1514	Force Windows Explorer to Start in the Folder You Want
1548	sand box
1690	Start Your Own Exercise Regimen and Stick to It
2220	Find a Property Appraiser
2613	build a shed
2641	Tie a Winter Scarf So It Doesn't Fall Apart
2828	become a mortician
2916	Paint Wallpaper Using Gardz
3003	record a cd
3608	Wire 3 Prong to Four Prong
3768	Decorate a Kid's Room Without Painting
3785	join the boy scouts
4065	sell used clothing
4185	buy a boat
4464	tune a guitar
4636	Make a Frizzy Hair Mask (Honey and Almond Oil)
4672	Change the Paper on Fusuma (Japanese Sliding Doors)
5236	Make Yard Sale Signs
5353	define love
5835	waste time
6728	Buy a Motorcycle
7829	collect coins
8041	make friends
8070	make your own jeans
8093	cross train
8503	s tudy
9031	make blue prints
10215	call 9-1-1
10928	Become a Hair Stylist
11157	Make an Oil Lamp
11485	Make Jello Cake
11593	listen.to music
11593	listen to music'
11593	listen to music
12303	Send a Free Fax
14618	solve math problems
15013	air soft
15473	Make Your Eyes the Spotlight
15930	Race a Junker on a Dirt Track
16261	build a hydroponic garden
17901	Help Someone Who Has Swallowed Gasoline
18119	Play CnC Red Alert 2 on Bering Strait
18142	Create a Copy of a Page in a PDF Document
18467	Speak Professionally on the Phone
19350	Erase Old Marks off a Dry Erase Board
19505	Understand Your Rabbit
19650	pole vault
19699	remove spyware
21220	love others
21863	join a band
24288	Do a Backbend
24598	Save Time With Blackberry Autotext
25644	Choose Lettering For Your Boat
26220	Eat Corn on the Cob
26227	pick a lock
26243	Disagree with Your Boss
26479	grow taller
27033	Make Friends All over the World
28073	stick fight
28144	Make a No Bake Chocolate Peanut Butter Ball
29413	become a notary
31635	Clean and Disinfect Wooden Cooking Utensils
31639	deliver a baby
33191	Bring out Natural Red and Blond Highlights
33675	Tie a Hojojutsu Bundle
34153	open windows explorer
34763	plan a road trip
39125	make a collage
39224	consolidate loans
40045	smile like you mean it
40567	buy shoes online
41159	Make Vodka Sauce
41557	start jogging
42118	Pack Your Possessions When Moving
42371	Walk in a Swamp
42376	Apply Lip Color
43230	start a social club
44068	Play Backward Defence in Cricket
44110	Be a Successful Girl in School
44316	Make a Pair of Geta (Wooden Sandals)
45423	snap your fingers
46775	Live With a Controlling Person
46949	paint by number
47994	Make Felt
48451	Deal With a Best Friend Cutting the Friendship for Good
49305	Perform a Taekwondo Front Kick
49611	Make One Chicken Last a Week
50769	exchange links
51994	ball room dance
51994	ballroom dance
52509	Relax Before Singing on Stage
52806	stamp concrete
54450	find free stuff online
56172	instant message
56990	Impress Middle School Boys with Your Knowledge of "Family Guy"
57118	make a bong
57358	Play the "Goofy Gift Exchange" Christmas Game
57489	Overcome a Social Phobia
57513	design your own engagement ring
57533	make a livejournal icon
57563	Determine What Time and Day a Web Page Was Viewed in Internet Explorer
58932	adopt a puppy
58995	Complete the Race for Life
59033	Travel Comfortably in a Van
60179	Use an Epilady
60593	improve your credit score
61670	become a plus size model
63003	install java
63234	pump gas
64044	learn russian
65062	destroy sensitive documents
65486	make a myspace contact box
65596	remove ink from clothes
66460	Make Bottle Cap Earrings
66910	draw a sea turtle
67765	Sustain a Long Term Relationship with Your Domestic Partner
70418	Be Naturally Funny
71506	embrace your inner child
72281	Dress Up As Krillin from Dragonball Z
72607	Connect an Electric Guitar to a Combo Amp
73091	Dress to Impress as a Girl
73432	Clean Stains off a Suede Purse
74372	Understand Light Switches
74736	do the hustle
76333	Set up a Tropical Aquarium
77815	Uninstall Kazaa
77823	Make a Healthier Pizza and Hamburger
77985	boil eggs
78426	study math
79797	roller blade
80590	Reduce Income Tax Liability in India
80761	Choose Property Management Software
81289	cos play
82354	date a stripper
83117	trick or treat
83127	Wake Up After Sleeping with Your Legs Crossed
83487	Organize a Group Translation Project
83703	Pretend to Be Asleep
84661	cancel an aol account
84925	Do the Scottish Highland Fling
85972	Deal With an Insincere Friend
86216	bite the bullet
89374	Stop Your Kids from Using Your Divorce to Their Advantage
91338	Fix a Running Toilet
92981	Build a Social Life as a Senior Citizen
93569	pay it forward
93622	Prepare at a Western Horse Show
93866	Have a Positive Body Image
96350	Say the Letter S (for People Who Have Lisps)
98097	Magically Repair Torn Paper
98792	Install Cheap Motion Sensor Lighting Indoors
99687	Do a Lifting Chokehold
99868	Write to HM Queen Elizabeth II
101827	Remove Undesirable ASCII Characters from a Site Created With Apple iWeb
102638	Deal With Heat Exhaustion
103358	Eat Fewer French Fries
103802	blend in
104193	tease your hair
104810	Make a Quarter Staff With PVC Pipe
104948	steal a myspace layout
105261	Install a Mail Slot
105608	Put a Fancy Edge on a Pie Crust
106763	storm chase
107603	find an apartment
107983	express yourself
108019	Ask a Lady Out If You're Shy
108340	make bagels
111838	Select a Go Kart Racing Gear Using Gears and Tires
112607	hit a home run
113084	Steal a Base
116162	Choose a Wedding Officiant
116596	create a super hero
117223	Accept a Close Friend's Sexual Orientation
117372	Host a Birthday Sleepover
118630	Know when It Is Safe to Download Something
119549	love reading
120261	Care for Contact Lenses
121545	role play
124519	Play with a Chihuahua
125156	sell paintings
127469	speak arabic
130263	take a test
131031	Make Cheese Fondue (Fondue Neufchâteloise)
132191	find an old friend
132757	disguise your voice
133069	trash talk
134348	Twirl a Baton
134580	make a hologram
134586	Be a Dungeon Master
135925	Write a Report as a Secretary of the Library Club at School
138151	Go Back to School in Style
138713	Make a Real Clan or Guild
139129	feed the birds
141831	Stop Passive Aggressive Behavior in the Workplace
142783	keep right except to pass
142937	find an email address
142937	find an e-mail address
144109	Write a Fanfiction Summary
144167	Take Care of Your Long Haired Maine Coon
145957	Make a Strong Stick Fort
147294	Beat Two Garradors in Resident Evil 4
149188	Bribe Someone
149493	identify a bird
149499	lucid dream
150783	Recruit New People for wikiHow
151030	Be Aware of Hidden Costs for a First Time Renter
151090	design clothes
151666	airbrush nails
156033	Get a a Better Reaction for a Card Trick
158440	read a clock
159170	Create and Develop an Original Character
160151	Keep Your Books Neat
162606	Manage Your Time over Summer Break
164692	chew tobacco
165104	Make Leaf Images
167954	visit niagara falls
168051	Find a Girlfriend at Summer Camp
169620	Straighten Out a Dollar Bill
170296	Fight Like Your Favorite Videogame Fighter
170309	Make a Credit Card Flower Box Magnet
170625	search the internet
171736	Make Citrus Spray
172525	Loop Music on an iPod
173973	do the right thing
176049	Write a Speech about Your Dog for Show and Tell
177442	Go to the Chiropractor Without Fear
177944	freeze strawberries
178567	play paintball
179096	volunteer overseas
179435	travel with kids
179736	Use the Reloading Tool in Resident Evil 3
179835	use your imagination
180919	find a snake
185124	become a pharmacist
186085	move stealthily
188607	Create a Book of Your Original Poetry
190580	Play "Mother May I"
192731	learn indonesian
192804	Determine the Gender of a Rabbit
193618	Plug Your iPod Into Your Car Stereo With an Auxiliary Cable
195176	Make a Trampoline Bike
195366	Loiter
196355	Play Siamese Chess
196826	Follow the Mortgage Accelerator Plus Program
196988	Use a Fire Pit
198180	star gaze
199048	sharp shooter
199445	make a quiz
199467	Make a Chocolate Portrait
199994	Prevent a Car from Rolling Back on a Hill
202543	Be a Drama Queen
203838	house sit
204779	Debone a Chicken Breast
206264	play tetris
206871	crip walk
210147	rent an rv
210221	get rid of hornets
210296	become an automotive technician
211014	pimp out your myspace
212213	keep going
214890	Ride a Waveboard
215182	acid stain concrete
216325	Be Friends with Someone Younger Than You
218071	Get 10,000 Additional G's in Harvest Moon Another Wonderful Life
222296	Solve the Svchost.Exe 100% CPU Utilization Problem
222921	care for a toy poodle
223011	Stop a Fight
223982	make a prom dress
224331	Make a Birdseed Stress Ball
226258	Talk to Parents When You Babysit Their Kids
227370	play house
228106	Fold a Towel Lobster
229134	Draw a Straight Line Without a Ruler
229322	Get Some "Easter Eggs" in Halo 2
229594	clean tile floors
229598	play strategy games
229843	become a coroner
235657	Avoid Missing a Flight
239379	chinese jumprope
239379	chinese jump rope
239758	google someone
240242	find unclaimed money
240312	Play Anywhere but the Mouth
241061	Use up Bits of Hand Soaps for Laundry
244238	shop smart
249690	Garnish a Cocktail
249970	Use Line Rider
251912	Make a Toy Computer
253470	think like a lawyer
254308	breed dogs
259454	keep it real
260417	paint a t shirt
268798	Make a Program in AppleScript
269998	Keep Someone from Breaking Into Your Car
270866	pitch from the stretch
274239	Sell World of Warcraft Accounts Effectively
