18119	Play CnC Red Alert 2 on Bering Strait
224331	Make a Birdseed Stress Ball
339749	Make Microwave Oatmeal
544040	Make Nasturtium Flower Sandwiches
3842725	Continue Loving God for a Long Period of Time
1666135	Recognize Signs of Over Exercising
5504302	Dispute a Demand from a Debt Recovery Company for a Phone Bill
1682413	Choose a Baby Nursery Theme
1472777	Reduce Workers Compensation Premiums
537750	Know if a Beer is American Made
1439139	Dominate at Thumb Wars
1637342	Draft a Compromise Agreement Quickly and Cheaply
3716949	Make Violet Liqueur
2309966	Talk Yourself out of an Assault
1307240	Become a Commercial Loan Officer
718578	Get the Amethyst in Aqua Grabber on Club Penguin
1892442	Balance Stock in Your 401(k) Plan
12303	Send a Free Fax
670497	Project Your Hindustani Singing Voice
1924803	Run Away from Home With Your Dog and Survive
1547958	Fit in at a British High School
188607	Create a Book of Your Original Poetry
518730	Play Truth or Dare at a Sleepover
523870	Improve Your Footwork in Soccer
19350	Erase Old Marks off a Dry Erase Board
974316	Make Your Appearance Reflect on Who You Are
3641486	Succeed in an Interveiw
1147796	Paint Laminate Cabinets
229134	Draw a Straight Line Without a Ruler
4044547	Survive when Your Best Friend Moves Away
1055281	Defeat Barbarrcia in Final Fantasy IV
636468	Prank a Person Using Chewable Sweets
6728	Buy a Motorcycle
1635932	Be a Gourmet Cook in 3 Easy Lessons
2930547	Upgrade to Snow Leopard
5492699	Roleplay on San Andreas Multiplayer
361436	Make a Mother's Day Flower
2445417	Build a Miniature Faux Log Cabin
2858878	Become an Admin, Owner, or Guest on Your Bukkit Server
5475404	Warm Up Your Voice: 3 Steps
1230535	Celebrate Ferris Wheel Day
365223	Sew a Rip in a Plush Doll
147294	Beat Two Garradors in Resident Evil 4
653806	Be Annoying at the Movies
1325737	Apply a Poultice
614583	Find and Care For an Antlion
5604175	Millions of Websites Affected by Drupal Hack Attack
1360303	Fletch Arrows
199994	Prevent a Car from Rolling Back on a Hill
1044273	Recognize Cellulitis Symptoms
3859063	Draw a Parakeet or a Parret
149188	Bribe Someone
5035056	Do a Unit Rate
1368675	Calculate Finance Charges on a Leased Vehicle
355375	Get in Touch with Your Inner Aquarius
1771500	Heal from a Collapsed Lung
896723	Look Sweet
412570	Make Parmesan Popcorn
4680764	Create a Theme with Your Pictures Using BlueFTP
1596530	Verify That a French Business/Professional Is Appropriately Registered
2513907	Make Your Own Brush in GIMP
